standard_event	dataset_label	standard_action	standard_activity	dataset
vehicle	Ice cream truck, ice cream van			AudioSet_strong
vehicle	Ice cream truck, ice cream van			AudioSet
vehicle	ice cream truck, ice cream van			VGGSound
vehicle	Jet engine			AudioSet_strong
vehicle	Jet engine			AudioSet
vehicle	Large engine			Singapura
vehicle	large vehicle			TUTSoundEvents2017
vehicle	large_vehicle			MAESTROreal
vehicle	large-sounding-engine			SONYC
vehicle	Medium engine			Singapura
vehicle	medium-sounding-engine			SONYC
vehicle	metro approaching	metro_approaching		MAESTROreal
vehicle	metro leaving	metro_leaving		MAESTROreal
vehicle	Motor vehicle (road)			AudioSet_strong
vehicle	Motor vehicle (road)			AudioSet
vehicle	Motor_vehicle_(road)			Fsd50k
vehicle	motorbike			NoisenseDb
vehicle	motorbike			Urbansas
vehicle	Motorboat, speedboat			AudioSet_strong
vehicle	Motorboat, speedboat			AudioSet
vehicle	motorboat, speedboat acceleration			VGGSound
vehicle	motorcycle			MAVDtraffic
vehicle	Motorcycle			Fsd50k
vehicle	Motorcycle			AudioSet_strong
vehicle	Motorcycle			AudioSet
vehicle	motorcycle			IDMTtraffic
vehicle	motorcycle/brakes	motorcycle_brake		MAVDtraffic
vehicle	motorcycle/brakes	brakes_squeaking		MAVDtraffic
vehicle	motorcycle/engine_accelerating	engine_accelerating		MAVDtraffic
vehicle	motorcycle/engine_idling			MAVDtraffic
vehicle	motorcycle/wheel_rolling	wheel_rolling		MAVDtraffic
vehicle	motorcycle/wheel_rolling	vehicle_passing_by		MAVDtraffic
vehicle	driving motorcycle			VGGSound
vehicle	Non-motorized land vehicle			AudioSet_strong
vehicle	offscreen			Urbansas
vehicle	Police car (siren)	siren_ringing		AudioSet_strong
vehicle	Police car (siren)	siren_ringing		AudioSet
vehicle	Police car (siren)	vehicle_siren_ringing		AudioSet_strong
vehicle	Police car (siren)	vehicle_siren_ringing		AudioSet
vehicle	Police car (siren)	police_car_siren_ringing		AudioSet_strong
vehicle	Police car (siren)	police_car_siren_ringing		AudioSet
vehicle	police car (siren)	siren_ringing		VGGSound
vehicle	police car (siren)	vehicle_siren_ringing		VGGSound
vehicle	police car (siren)	police_car_siren_ringing		VGGSound
vehicle	Power windows, electric windows			AudioSet_strong
vehicle	Power windows, electric windows			AudioSet
vehicle	opening or closing car electric windows			VGGSound
vehicle	Propeller, airscrew			AudioSet_strong
vehicle	Propeller, airscrew			AudioSet
vehicle	Race car, auto racing			AudioSet_strong
vehicle	Race car, auto racing			AudioSet
vehicle	race car, auto racing			VGGSound
vehicle	Race_car_and_auto_racing			Fsd50k
vehicle	Rail transport			AudioSet_strong
vehicle	Rail transport			AudioSet
vehicle	Rail_transport			Fsd50k
vehicle	Railroad car, train wagon			AudioSet_strong
vehicle	Railroad car, train wagon			AudioSet
vehicle	railroad car, train wagon			VGGSound
vehicle	reverse-beeper	reverse_beeper		SONYC
vehicle	Reverse beeper	reverse_beeper		Singapura
vehicle	Reversing beeps	reverse_beeper		AudioSet_strong
vehicle	Reversing beeps	reverse_beeper		AudioSet
vehicle	reversing beeps	reverse_beeper		VGGSound
vehicle	Rowboat, canoe, kayak			AudioSet_strong
vehicle	Rowboat, canoe, kayak			AudioSet
vehicle	rowboat, canoe, kayak rowing			VGGSound
vehicle	running engine	engine_accelerating		TAUNIGENSSpatialSoundEvents2020
vehicle	Sailboat, sailing ship			AudioSet_strong
vehicle	Sailboat, sailing ship			AudioSet
vehicle	Ship			AudioSet_strong
vehicle	Ship			AudioSet
vehicle	Skateboard			Fsd50k
vehicle	Skateboard			AudioSet_strong
vehicle	Skateboard			AudioSet
vehicle	Skidding	car_skidding		AudioSet
vehicle	skidding	car_skidding		VGGSound
vehicle	small-sounding-engine			SONYC
vehicle	small-sounding-engine			SONYC
vehicle	Smallenginge			Singapura
vehicle	Subway_and_metro_and_underground			Fsd50k
vehicle	Subway, metro, underground			AudioSet_strong
vehicle	Subway, metro, underground			AudioSet
vehicle	subway, metro, underground			VGGSound
vehicle	Tire squeal	tire_squealing		AudioSet
vehicle	Tire squeal, skidding	tire_squealing		AudioSet_strong
vehicle	Tire squeal, skidding	car_skidding		AudioSet_strong
vehicle	Toot	vehicle_horn		AudioSet_strong
vehicle	Toot	vehicle_horn		AudioSet
vehicle	Toot	car_horn		AudioSet_strong
vehicle	Toot	car_horn		AudioSet
vehicle	train			ESC50
vehicle	Train			Singapura
vehicle	Train			Fsd50k
vehicle	Train			AudioSet_strong
vehicle	Train			AudioSet
vehicle	Train horn	train_horn		AudioSet_strong
vehicle	Train horn	train_horn		AudioSet
vehicle	train horning	train_horn		VGGSound
vehicle	Train wheels squealing	train_wheels_squealing		AudioSet_strong
vehicle	Train wheels squealing	train_wheels_squealing		AudioSet
vehicle	train wheels squealing	train_wheels_squealing		VGGSound
vehicle	Train whistle	train_whistle		AudioSet_strong
vehicle	Train whistle	train_whistle		AudioSet
vehicle	train whistling	train_whistle		VGGSound
vehicle	truck			Urbansas
vehicle	truck			MAVDtraffic
vehicle	Truck			Fsd50k
vehicle	Truck			AudioSet_strong
vehicle	Truck			AudioSet
vehicle	truck			IDMTtraffic
vehicle	truck/brakes	truck_brake		MAVDtraffic
vehicle	truck/brakes	brakes_squeaking		MAVDtraffic
vehicle	truck/compressor			MAVDtraffic
vehicle	truck/engine_accelerating	engine_accelerating		MAVDtraffic
vehicle	truck/engine_idling			MAVDtraffic
vehicle	truck/wheel_rolling	wheel_rolling		MAVDtraffic
vehicle	truck/wheel_rolling	vehicle_passing_by		MAVDtraffic
vehicle	Vehicle			Fsd50k
vehicle	Vehicle			AudioSet_strong
vehicle	Vehicle			AudioSet
vehicle	Vehicle horn, car horn, honking	vehicle_horn		AudioSet
vehicle	Vehicle horn, car horn, honking	car_horn		AudioSet
vehicle	Vehicle horn, car horn, honking, toot	vehicle_horn		AudioSet_strong
vehicle	Vehicle horn, car horn, honking, toot	car_horn		AudioSet_strong
vehicle	vehicle horn, car horn, honking	vehicle_horn		VGGSound
vehicle	vehicle horn, car horn, honking	car_horn		VGGSound
vehicle	Vehicle_horn_and_car_horn_and_honking	vehicle_horn		Fsd50k
vehicle	Vehicle_horn_and_car_horn_and_honking	car_horn		Fsd50k
vehicle	cleaning_truck			NoisenseDb
vehicle	driving snowmobile			VGGSound
vehicle	roller coaster running			VGGSound
vehicle	sailing			VGGSound
vehicle	tractor digging			VGGSound
				
snowmobile	driving snowmobile			VGGSound
				
tractor	tractor digging			VGGSound
				
road_vehicle	Accelerating_and_revving_and_vroom	engine_accelerating		Fsd50k
road_vehicle	engine accelerating, revving, vroom	engine_accelerating		VGGSound
road_vehicle	Accelerating, revving, vroom	engine_accelerating		AudioSet_strong
road_vehicle	Accelerating, revving, vroom	engine_accelerating		AudioSet
road_vehicle	Air brake	air_brake		AudioSet
road_vehicle	Air brake	air_brake		AudioSet_strong
road_vehicle	Air horn, truck horn	vehicle_horn		AudioSet_strong
road_vehicle	Air horn, truck horn	vehicle_horn		AudioSet
road_vehicle	Air horn, truck horn	air_horn_or_truck_horn		AudioSet_strong
road_vehicle	Air horn, truck horn	air_horn_or_truck_horn		AudioSet
road_vehicle	Ambulance (siren)	siren_ringing		AudioSet_strong
road_vehicle	Ambulance (siren)	siren_ringing		AudioSet
road_vehicle	Ambulance (siren)	vehicle_siren_ringing		AudioSet_strong
road_vehicle	Ambulance (siren)	vehicle_siren_ringing		AudioSet
road_vehicle	Ambulance (siren)	ambulance_siren_ringing		AudioSet_strong
road_vehicle	Ambulance (siren)	ambulance_siren_ringing		AudioSet
road_vehicle	ambulance siren	ambulance_siren_ringing		VGGSound
road_vehicle	ambulance siren	siren_ringing		VGGSound
road_vehicle	ambulance siren	vehicle_siren_ringing		VGGSound
road_vehicle	Brake	brakes_squeaking		Singapura
road_vehicle	brakes_squeaking	brakes_squeaking		MAESTROreal
road_vehicle	brakes squeaking	brakes_squeaking		TUTSoundEvents2017
road_vehicle	bus			Urbansas
road_vehicle	bus			MAVDtraffic
road_vehicle	Bus			Fsd50k
road_vehicle	Bus			AudioSet_strong
road_vehicle	Bus			AudioSet
road_vehicle	bus			IDMTtraffic
road_vehicle	bus/brakes	bus_brake		MAVDtraffic
road_vehicle	bus/brakes	brakes_squeaking		MAVDtraffic
road_vehicle	bus/compressor			MAVDtraffic
road_vehicle	bus/engine_accelerating	engine_accelerating		MAVDtraffic
road_vehicle	bus/engine_idling			MAVDtraffic
road_vehicle	bus/wheel_rolling	wheel_rolling		MAVDtraffic
road_vehicle	bus/wheel_rolling	vehicle_passing_by		MAVDtraffic
road_vehicle	driving buses			VGGSound
road_vehicle	car			TUTSoundEvents2017
road_vehicle	car			Urbansas
road_vehicle	car			MAVDtraffic
road_vehicle	car			MAESTROreal
road_vehicle	Car			Fsd50k
road_vehicle	Car			AudioSet_strong
road_vehicle	Car			AudioSet
road_vehicle	car			IDMTtraffic
road_vehicle	Car alarm	car_alarm_ringing		AudioSet_strong
road_vehicle	Car alarm	car_alarm_ringing		AudioSet
road_vehicle	Car alarm	car_alarm_ringing		Singapura
